评论日期,评论者昵称,性别,所在城市,猫眼等级,评分,评论内容
2018-09-21,点点,2,盱眙,3,4.5,"校园暴力真的是一个值得深思的问题，因为它到现在依然没有得到解决。
原著党表示，改编还是不错的，毕竟要过审，有些敏感话题还是要回避的，但是已经挺好了，算是回忆了下青春~"
2018-09-21,kQf196731334,2,重庆,2,5.0,很好看，影片特现实，确实很好看
2018-09-21,qEi855206446,0,嘉兴,2,5.0,悲伤逆流成河是有关校园欺凌题材，校园欺凌，听起来还是很熟悉的，毕竟谁的学生时代没经历过点冷眼嘲讽和孤立呢。整部电影给我更多的感觉是压抑，流言的可怕真的是想象不到，剧中句句扎心让人深思……
2018-09-21,qTc369881142,1,孝昌县,2,5.0,比较贴切real
2018-09-21,MtG883000590,0,广元,2,5.0,很有教育意义，
2018-09-21,SKd474621009,0,中山,3,5.0,挺好看的，真实不庸俗，很感人，希望现实的社会多一些温暖的阳光吧！
2018-09-21,rj1981888,2,锦州,4,4.0,齐铭，人如其名，只是想找一个可以和自己身份地位相当的女孩。他对易遥的好大概可以看作是一种怜惜，但却不是爱情。相比较而言，顾森西爱的更加发自内心，也更加真实。他不仅爱易遥的外表，也爱她的灵魂。为了他可以奋不顾身，连命都不要。这才是真正的爱情。爱情不是要说的，而是要经受住考验。
2018-09-21,草莓味彬彬彬,2,牟平,2,5.0,两个字 看哭
2018-09-21,FX19980701,0,武汉,2,4.0,女孩子就是应该温柔中带点暴躁！因为毕竟身边没有一个“顾森西”
2018-09-21,oBR963070866,2,遵义,2,5.0,电影很棒、各方面
2018-09-21,F泠然,0,烟台,2,5.0,"落落导演的电影果然没让我失望。
这是我所看过的最疼痛的电影，每一个镜头和台词都很痛。希望世界上永远没有校园暴力。"
2018-09-21,AlP.597,0,武汉,2,4.5,"看了Sunnee的《不哭》的mv之后突然想来看了，看完之后感触最深的还是那句“你们永远不会承认自己做的事有多恶毒”。整个电影气氛很压抑，但是顾森西的出现算是让人在无尽的黑暗中看到的那一丝耀眼的光芒顾森西的西不是希望的希，但是顾森西却是易遥的希望。像《不哭》里唱的那样：
说对不起，一两秒功夫
而没关系，一生说不出。
愿所有人的青春都被温柔以待。"
2018-09-21,金箍棒棒冰,1,哈尔滨,2,0.5,影响我睡觉，建议取消晚上排片，谢谢
2018-09-21,钻石会员,1,西安,4,0.5,垃圾电影，说好看的都是女生吧？
2018-09-21,Empty city°,2,简阳,2,5.0,"我这个看电影不哭的人，眼泪就这么掉了下来😂
题材很催泪，展现了人性的一面    
这种电影很赞啊
 "
2018-09-21,yXC411967616,0,马鞍山,1,5,远离校园暴力，但是也担心未成年人保护法被无视掉
2018-09-21,昔日____,1,成都,3,5,其实不是每个被欺凌的人身边都有一个顾森西
2018-09-21,琪琪琪琪琪琪琪子,2,鞍山,4,5,好红红火火恍恍惚惚
2018-09-21,Jove一路向北,2,成都,3,3,一般般 真心一般般 为什么不是郭敬明自己拍
2018-09-21,晓语啊,2,盐城,2,4,符合小说，虽然演员都是新人，不过挺带感的
2018-09-21,懒人丶春风十里,0,常州,2,5,没看过小说，原本以为是个爱情电影，看了才知道，这个电影是写校园霸凌的，深受感动，好评！
2018-09-21,天使洪辰,1,潍坊,3,5,电影很好看。
